name,address,lat,lng,rating,num_ratings,place_id,opening_hours,phone_number,price_level,postal_code,tipo
Trainer Shop,"C. Virgen de la Alegría, 10, Planta 3, 28027 Madrid, Spain",40.4329538,-3.6568554,5,26,ChIJoxmHCPgvQg0RIn5iye5G7-U,"['Monday: 10:00\u202fAM\u2009–\u20092:00\u202fPM, 5:00\u2009–\u20099:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20092:00\u202fPM, 5:00\u2009–\u20099:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20092:00\u202fPM, 5:00\u2009–\u20099:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20092:00\u202fPM, 5:00\u2009–\u20099:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20092:00\u202fPM, 5:00\u2009–\u20099:00\u202fPM', 'Saturday: 11:00\u202fAM\u2009–\u20092:00\u202fPM', 'Sunday: Closed']",608 44 08 67,N/A,28027,tienda
Shopme,"31200, 28001 Madrid, Spain",40.426175,-3.685144,0,0,ChIJuTVNCLspQg0RWLYdBIa0HiQ,"['Monday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u200911:00\u202fPM', 'Sunday: Closed']",657 15 88 15,N/A,28001,tienda
INSIDE,"C. de Alcalá, 382, 28027 Madrid, Spain",40.4360174,-3.6416125,4.1,267,ChIJ8Wr3WxUvQg0R2OUKqJYuCYo,"['Monday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u20099:00\u202fPM']",913 77 12 09,N/A,28027,tienda
Cacahuete Shop,"C. de Miguel Yuste, 29, Bloque A piso T15, 28037 Madrid, Spain",40.4377848,-3.6239156,1,1,ChIJrVcL-wovQg0RKdCrbQ8TUdI,[],N/A,N/A,28037,tienda
VIP-GROW,"C. de Alcalá, 569, 28022 Madrid, Spain",40.4445488,-3.6157756,3.9,54,ChIJ7TRTwaUvQg0R4zIqy_8fcnM,"['Monday: 11:00\u202fAM\u2009–\u20093:00\u202fPM, 5:00\u2009–\u20099:00\u202fPM', 'Tuesday: 11:00\u202fAM\u2009–\u20093:00\u202fPM, 5:00\u2009–\u20099:00\u202fPM', 'Wednesday: 11:00\u202fAM\u2009–\u20093:00\u202fPM, 5:00\u2009–\u20099:00\u202fPM', 'Thursday: 11:00\u202fAM\u2009–\u20093:00\u202fPM, 5:00\u2009–\u20099:00\u202fPM', 'Friday: 11:00\u202fAM\u2009–\u20093:00\u202fPM, 5:00\u2009–\u20099:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']",910 11 63 35,N/A,28022,tienda
Alicia Román Shop,"C. de José Villena, 16, 28017 Madrid, Spain",40.4310469,-3.6557514,5,2,ChIJW8ZuMkkvQg0RFg1SJzJN9Zg,"['Monday: 10:00\u202fAM\u2009–\u20091:45\u202fPM, 5:00\u2009–\u20095:30\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20097:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20097:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20097:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20093:00\u202fPM, 5:00\u2009–\u20097:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20092:00\u202fPM', 'Sunday: Closed']",914 05 47 33,N/A,28017,tienda
InterTextil,"C. de Tumaco, 20, 28027 Madrid, Spain",40.4454011,-3.6344369,0,0,ChIJ4SUpfhAvQg0RSvQLUaXAg_s,[],910 01 32 23,N/A,28027,tienda
MOKA HOME ALCALA,"C. de Alcalá, 366, 28027 Madrid, Spain",40.4351737,-3.6434311,4,325,ChIJxbGGTu0vQg0R2jMnQcOd0og,"['Monday: 10:00\u202fAM\u2009–\u20099:30\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20099:30\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20099:30\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20099:30\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20099:30\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20099:30\u202fPM', 'Sunday: 11:00\u202fAM\u2009–\u20098:30\u202fPM']",913 67 94 71,N/A,28027,tienda
BALAMODA | Planificadores & Agendas ME TO-DO,"C. de Arturo Soria, 126, 28043 Madrid, Spain",40.4499968,-3.6507593,4.8,74,ChIJtStJeG0xQg0RLLnAP0HcSCs,"['Monday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Sunday: 9:00\u202fAM\u2009–\u20096:00\u202fPM']",644 17 44 85,N/A,28043,tienda
Sports Evolution Madrid,"C/ Alcalá 414. L 66 semi-sótano al lado de Muebles Hnos Pérez C. Comercial ""Alcalá Norte, 28027 Madrid, Spain",40.4370422,-3.6380888,4.9,507,ChIJw2Hv8hQvQg0RaRmKjVnlN04,"['Monday: 10:00\u202fAM\u2009–\u20092:00\u202fPM, 5:00\u2009–\u20099:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20092:00\u202fPM, 5:00\u2009–\u20099:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20092:00\u202fPM, 5:00\u2009–\u20099:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20092:00\u202fPM, 5:00\u2009–\u20099:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20092:00\u202fPM, 5:00\u2009–\u20099:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20092:00\u202fPM, 5:00\u2009–\u20099:00\u202fPM', 'Sunday: Closed']",913 77 07 92,N/A,28027,tienda
Amior Golf Shop,"Av. de los Andes, 10, 28042 Madrid, Spain",40.4540352,-3.622965199999999,5,22,ChIJcdoLghYvQg0RLcNZaVLLJqY,"['Monday: 10:00\u202fAM\u2009–\u20092:00\u202fPM, 5:00\u2009–\u20098:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20092:00\u202fPM, 5:00\u2009–\u20098:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20092:00\u202fPM, 5:00\u2009–\u20098:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20092:00\u202fPM, 5:00\u2009–\u20098:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20092:00\u202fPM, 5:00\u2009–\u20098:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20092:00\u202fPM, 5:00\u2009–\u20098:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u20092:00\u202fPM']",641 55 16 86,N/A,28043,tienda
Divas Fashion España,"C/ de José Arcones Gil, 5, LOCAL B, 28017 Madrid, Spain",40.4369311,-3.639151,4.8,858,ChIJMYII5BQvQg0RBWXnrSKhpps,"['Monday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Sunday: 12:00\u2009–\u20098:00\u202fPM']",628 25 77 98,N/A,28017,tienda
Lola Casademunt C.I. Campo Naciones,"Av. de los Andes, 50, 28042 Madrid, Spain",40.4564336,-3.6178227,0,0,ChIJ4SMT13wvQg0RO4m1MdINKHE,"['Monday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Sunday: 11:00\u202fAM\u2009–\u20099:00\u202fPM']",917 41 60 12,N/A,28022,tienda
Décimas,"Centro Comercial Alcalá Norte, C. de Alcalá, 414, Planta SS, LOC. 7, 28027 Madrid, Spain",40.436954,-3.638152,3.8,57,ChIJL2xrkxQvQg0RYcBKgd2CEJ8,"['Monday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Sunday: Closed']",914 07 91 52,N/A,28027,tienda
Picbooth,"C. de Miguel Yuste, 16, 2B, 28037 Madrid, Spain",40.439632,-3.6255218,5,1,ChIJtxYxwAsvQg0Rax6DpQOvBKE,"['Monday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']",674 91 22 79,N/A,28037,tienda
