name,address,lat,lng,rating,num_ratings,place_id,opening_hours,phone_number,price_level,postal_code,tipo
RESTAURANTE LEYENDAS,"C. de Albasanz, 25, 28037 Madrid, Spain",40.4374936,-3.6277589,4.3,669,ChIJ1zKZkQwvQg0RB2FdygqI1So,"['Monday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 9:30\u202fAM\u2009–\u20096:00\u202fPM', 'Sunday: Closed']",912 16 53 33,1,28037,restaurante
Restaurante Anea Alcalá,"Centro Comercial Alcalá Norte, Calle de Alcalá, 414, 28027 Madrid, Spain",40.4371099,-3.6382985,4,252,ChIJ4xSg9RQvQg0RGVAvr0BnSM0,"['Monday: 12:00\u2009–\u200911:00\u202fPM', 'Tuesday: 12:00\u2009–\u200911:00\u202fPM', 'Wednesday: 12:00\u2009–\u200911:00\u202fPM', 'Thursday: 12:00\u2009–\u200911:00\u202fPM', 'Friday: 12:00\u202fPM\u2009–\u200912:00\u202fAM', 'Saturday: 12:00\u202fPM\u2009–\u200912:00\u202fAM', 'Sunday: 12:00\u202fPM\u2009–\u200912:00\u202fAM']",914 08 55 07,N/A,28027,restaurante
KFC,"C. de Alcalá, 468, 28027 Madrid, Spain",40.4390698,-3.6331104,3.9,938,ChIJTxO4OhcvQg0RpuWie4ldiUw,"['Monday: 12:00\u2009–\u200911:30\u202fPM', 'Tuesday: 12:00\u2009–\u200911:30\u202fPM', 'Wednesday: 12:00\u2009–\u200911:30\u202fPM', 'Thursday: 12:00\u2009–\u200911:30\u202fPM', 'Friday: 12:00\u202fPM\u2009–\u200912:00\u202fAM', 'Saturday: 12:00\u202fPM\u2009–\u200912:00\u202fAM', 'Sunday: 12:00\u202fPM\u2009–\u200912:00\u202fAM']",914 26 82 97,1,28027,restaurante
ORGAZ,"Avda. de los Andes s/n esquina, Av. del Arroyo del Santo, 28042 Madrid, Spain",40.4543574,-3.62201,4.4,2224,ChIJSZl1cQAvQg0RMUIaUwKHabY,"['Monday: 12:30\u2009–\u200911:30\u202fPM', 'Tuesday: 12:30\u2009–\u200911:30\u202fPM', 'Wednesday: 12:30\u2009–\u200911:30\u202fPM', 'Thursday: 12:30\u2009–\u200911:30\u202fPM', 'Friday: 12:30\u2009–\u200911:30\u202fPM', 'Saturday: 12:30\u2009–\u200911:30\u202fPM', 'Sunday: 12:30\u2009–\u20094:30\u202fPM']",913 20 08 22,2,28043,restaurante
Restaurante Racers Madrid,"C. de Albasanz, 68, 28037 Madrid, Spain",40.4382451,-3.6238839,4.3,521,ChIJj2oQWxYvQg0RTez-CCX8tdQ,"['Monday: 9:00\u202fAM\u2009–\u200912:00\u202fAM', 'Tuesday: 9:00\u202fAM\u2009–\u200912:00\u202fAM', 'Wednesday: 9:00\u202fAM\u2009–\u200912:00\u202fAM', 'Thursday: 9:00\u202fAM\u2009–\u200912:00\u202fAM', 'Friday: 9:00\u202fAM\u2009–\u200912:00\u202fAM', 'Saturday: 12:00\u202fPM\u2009–\u200912:00\u202fAM', 'Sunday: Closed']",638 44 08 67,1,28037,restaurante
Ginos,"C. de Alcalá, 492, 28027 Madrid, Spain",40.4400708,-3.629550399999999,3.9,1620,ChIJ5zlX0g0vQg0RM1irRGYSDbQ,"['Monday: 12:30\u2009–\u20095:00\u202fPM, 8:00\u2009–\u200911:30\u202fPM', 'Tuesday: 12:30\u2009–\u20095:00\u202fPM, 8:00\u2009–\u200911:30\u202fPM', 'Wednesday: 12:30\u2009–\u20095:00\u202fPM, 8:00\u2009–\u200911:30\u202fPM', 'Thursday: 12:30\u2009–\u20095:00\u202fPM, 8:00\u2009–\u200911:30\u202fPM', 'Friday: 12:30\u2009–\u20095:00\u202fPM, 8:00\u202fPM\u2009–\u200912:00\u202fAM', 'Saturday: 12:30\u2009–\u20095:00\u202fPM, 8:00\u202fPM\u2009–\u200912:00\u202fAM', 'Sunday: 12:30\u2009–\u20095:00\u202fPM, 8:00\u2009–\u200911:30\u202fPM']",912 75 02 77,2,28027,restaurante
Restaurante Ludana,"C. de Telémaco, 8, 28027 Madrid, Spain",40.4477949,-3.6446075,4.1,184,ChIJucvg_yIvQg0RJBdVSMC7sP8,"['Monday: 7:00\u202fAM\u2009–\u200910:30\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u200910:30\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u200910:30\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u200910:30\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u200910:30\u202fPM', 'Saturday: Closed', 'Sunday: Closed']",619 96 35 82,1,28027,restaurante
Bar Restaurante Nicaraguita,"C. del Estrecho de Gibraltar, 21, 28027 Madrid, Spain",40.43703379999999,-3.6412379,4.2,247,ChIJPSw0bhUvQg0Rpj3bBX8m7aY,"['Monday: Closed', 'Tuesday: Closed', 'Wednesday: 1:00\u2009–\u200911:00\u202fPM', 'Thursday: 1:00\u2009–\u200911:00\u202fPM', 'Friday: 1:00\u2009–\u200911:00\u202fPM', 'Saturday: 1:00\u2009–\u200911:00\u202fPM', 'Sunday: 1:00\u2009–\u200911:00\u202fPM']",N/A,1,28027,restaurante
Restaurante Pasta City,"C. de Alcalá, 414, 28027 Madrid, Spain",40.4370422,-3.6380888,1,2,ChIJzZsW9xQvQg0R_rvQoCtvGs8,"['Monday: 1:00\u2009–\u20095:00\u202fPM, 8:00\u202fPM\u2009–\u200912:00\u202fAM', 'Tuesday: 1:00\u2009–\u20095:00\u202fPM, 8:00\u202fPM\u2009–\u200912:00\u202fAM', 'Wednesday: 1:00\u2009–\u20095:00\u202fPM, 8:00\u202fPM\u2009–\u200912:00\u202fAM', 'Thursday: 1:00\u2009–\u20095:00\u202fPM, 8:00\u202fPM\u2009–\u20091:00\u202fAM', 'Friday: 1:00\u2009–\u20095:00\u202fPM, 8:00\u202fPM\u2009–\u20091:00\u202fAM', 'Saturday: 1:00\u2009–\u20095:00\u202fPM, 8:00\u202fPM\u2009–\u200912:00\u202fAM', 'Sunday: 1:00\u2009–\u20095:00\u202fPM, 8:00\u202fPM\u2009–\u200912:00\u202fAM']",913 67 53 56,N/A,28027,restaurante
Rodilla,"C. de Tampico, 40, 28027 Madrid, Spain",40.444514,-3.635014999999999,4,582,ChIJT-wbkhAvQg0RZZINWMG9tsY,"['Monday: 8:30\u202fAM\u2009–\u20099:30\u202fPM', 'Tuesday: 8:30\u202fAM\u2009–\u20099:30\u202fPM', 'Wednesday: 8:30\u202fAM\u2009–\u20099:30\u202fPM', 'Thursday: 8:30\u202fAM\u2009–\u20099:30\u202fPM', 'Friday: 8:30\u202fAM\u2009–\u20099:30\u202fPM', 'Saturday: 9:30\u202fAM\u2009–\u20099:30\u202fPM', 'Sunday: 9:30\u202fAM\u2009–\u20099:30\u202fPM']",917 43 66 61,1,28027,restaurante
La Fontana de Cronos,"Pl. Cronos, 5, 28037 Madrid, Spain",40.4393029,-3.6192718,4.2,349,ChIJmxJ9IaEvQg0RbceQKOIw5hU,"['Monday: 8:00\u202fAM\u2009–\u200912:00\u202fAM', 'Tuesday: 8:00\u202fAM\u2009–\u200912:00\u202fAM', 'Wednesday: 8:00\u202fAM\u2009–\u200912:00\u202fAM', 'Thursday: 8:00\u202fAM\u2009–\u200912:00\u202fAM', 'Friday: 8:00\u202fAM\u2009–\u200912:00\u202fAM', 'Saturday: 8:00\u202fAM\u2009–\u200912:00\u202fAM', 'Sunday: 8:00\u202fAM\u2009–\u200912:00\u202fAM']",913 27 26 14,2,28037,restaurante
Cerveceria La Casona 99,"C. de Alcalá, 414, 28027 Madrid, Spain",40.4370422,-3.6380888,4.7,701,ChIJzZsW9xQvQg0R-DT9KDCQ68E,"['Monday: 11:00\u202fAM\u2009–\u200912:00\u202fAM', 'Tuesday: 11:00\u202fAM\u2009–\u200912:00\u202fAM', 'Wednesday: 11:00\u202fAM\u2009–\u200912:00\u202fAM', 'Thursday: 11:00\u202fAM\u2009–\u200912:00\u202fAM', 'Friday: 11:00\u202fAM\u2009–\u200912:00\u202fAM', 'Saturday: 11:00\u202fAM\u2009–\u200912:00\u202fAM', 'Sunday: 11:00\u202fAM\u2009–\u200912:00\u202fAM']",914 07 28 96,1,28027,restaurante
Restaurante Juka II,"C. de Albasanz, 9, 28037 Madrid, Spain",40.4366986,-3.6306932,4.3,424,ChIJ8x_MRQ0vQg0R6OqTGMc3IM0,"['Monday: 7:00\u202fAM\u2009–\u20096:00\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u20096:00\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u20096:00\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']",913 27 23 54,1,28037,restaurante
