name,address,lat,lng,rating,num_ratings,place_id,opening_hours,phone_number,price_level,postal_code,tipo
Ahorramas,"C. del Dr. Vallejo, 17, 28027 Madrid, Spain",40.4371276,-3.6440807,4.1,186,ChIJg-NA9BQvQg0RIxr-mo-wx-w,"['Monday: 9:00\u202fAM\u2009–\u20099:30\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20099:30\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20099:30\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20099:30\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20099:30\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20099:30\u202fPM', 'Sunday: Closed']",900 113 213,N/A,28027,supermercado
Ahorramas,"C. de Alcalá, 412, 28027 Madrid, Spain",40.4368255,-3.6375582,4.2,840,ChIJXyDy9BQvQg0RzpfLGZz2qks,"['Monday: 9:00\u202fAM\u2009–\u20099:30\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20099:30\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20099:30\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20099:30\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20099:30\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20099:30\u202fPM', 'Sunday: Closed']",900 113 213,N/A,28027,supermercado
Supermercados Dia,"C. de Torrelaguna, 1, 28027 Madrid, Spain",40.4405799,-3.650286599999999,3.6,226,ChIJR333LzovQg0RItDXZ3MwBmM,"['Monday: 9:00\u202fAM\u2009–\u20099:30\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20099:30\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20099:30\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20099:30\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20099:30\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20099:30\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u20092:30\u202fPM']",912 17 04 53,N/A,28027,supermercado
Supermercados Dia,"C. de Vital Aza, 44, 28017 Madrid, Spain",40.4322173,-3.6412166,3.9,169,ChIJnXoKe2ovQg0R0wvAA4JG7Dc,"['Monday: 9:00\u202fAM\u2009–\u20099:30\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20099:30\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20099:30\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20099:30\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20099:30\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20099:30\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u20092:30\u202fPM']",912 17 04 53,N/A,28017,supermercado
Supercor Exprés,"Pl. López de la Plata, 3, 28043 Madrid, Spain",40.4587364,-3.6247164,3.8,93,ChIJ49Xq9_4uQg0R1KdUa5HyCJU,"['Monday: 8:30\u202fAM\u2009–\u200912:00\u202fAM', 'Tuesday: 8:30\u202fAM\u2009–\u200912:00\u202fAM', 'Wednesday: 8:30\u202fAM\u2009–\u200912:00\u202fAM', 'Thursday: 8:30\u202fAM\u2009–\u200912:00\u202fAM', 'Friday: 8:30\u202fAM\u2009–\u200912:00\u202fAM', 'Saturday: 8:30\u202fAM\u2009–\u200912:00\u202fAM', 'Sunday: 8:30\u202fAM\u2009–\u200912:00\u202fAM']",917 16 00 73,N/A,28043,supermercado
Carrefour Express EESS,"C. de los Hermanos García Noblejas, 28037 Madrid, Spain",40.4328436,-3.633694,3.2,13,ChIJa7xE414vQg0RazmUqlOj414,"['Monday: 9:00\u202fAM\u2009–\u20099:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20099:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20099:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20099:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20099:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20099:00\u202fPM', 'Sunday: 9:00\u202fAM\u2009–\u20099:00\u202fPM']",914 90 89 00,N/A,28037,supermercado
Supermercados Dia,"C. de Gutierre de Cetina, 50, 28017 Madrid, Spain",40.4303224,-3.6416926,3.8,287,ChIJ4dfuA2ovQg0RGcsmZDx3YWg,"['Monday: 9:00\u202fAM\u2009–\u20099:30\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20099:30\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20099:30\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20099:30\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20099:30\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20099:30\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u20092:30\u202fPM']",912 17 04 53,N/A,28017,supermercado
Lin Hong Elei,"C. de Alcalá, 430, 28027 Madrid, Spain",40.4381878,-3.6363702,0,0,ChIJ0YNMgxMvQg0RpE-tRLCzruQ,"['Monday: 9:30\u202fAM\u2009–\u20094:00\u202fPM, 5:00\u2009–\u20098:30\u202fPM', 'Tuesday: 9:30\u202fAM\u2009–\u20094:00\u202fPM, 5:00\u2009–\u20098:30\u202fPM', 'Wednesday: 9:30\u202fAM\u2009–\u20094:00\u202fPM, 5:00\u2009–\u20098:30\u202fPM', 'Thursday: 9:30\u202fAM\u2009–\u20094:00\u202fPM, 5:00\u2009–\u20098:30\u202fPM', 'Friday: 9:30\u202fAM\u2009–\u20094:00\u202fPM, 5:00\u2009–\u20098:30\u202fPM', 'Saturday: 9:30\u202fAM\u2009–\u20093:00\u202fPM', 'Sunday: Closed']",913 20 11 46,N/A,28027,supermercado
Autoservicio Gemelas,"C. del Gral. Aranaz, 79, 28027 Madrid, Spain",40.4466703,-3.6446021,3.5,2,ChIJQxOwHiMvQg0RHOcY5VS8SFU,"['Monday: 9:00\u202fAM\u2009–\u200911:30\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u200911:30\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u200911:30\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u200911:30\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u200911:30\u202fPM', 'Saturday: 9:30\u202fAM\u2009–\u200911:15\u202fPM', 'Sunday: 9:30\u202fAM\u2009–\u200911:30\u202fPM']",N/A,N/A,28027,supermercado
Tienduki,"C. de Alcalá, 414, 28027 Madrid, Spain",40.4370422,-3.6380888,5,2,ChIJWYD9CwIvQg0Rwnxe-EqMDNA,"['Monday: 9:30\u202fAM\u2009–\u200911:00\u202fPM', 'Tuesday: 9:30\u202fAM\u2009–\u200911:00\u202fPM', 'Wednesday: 9:30\u202fAM\u2009–\u200911:00\u202fPM', 'Thursday: 9:30\u202fAM\u2009–\u200911:00\u202fPM', 'Friday: 9:30\u202fAM\u2009–\u200911:00\u202fPM', 'Saturday: 9:30\u202fAM\u2009–\u200911:00\u202fPM', 'Sunday: 9:30\u202fAM\u2009–\u200911:00\u202fPM']",912 88 21 38,N/A,28027,supermercado
